"lake_id","survey_date","Bedrock_littoral_amount_legacy","Boulder_littoral_amount_legacy","Cobble_littoral_amount_legacy","Gravel_littoral_amount_legacy","Sand_littoral_amount_legacy","Silt_littoral_amount_legacy","Woody Debris_littoral_amount_legacy","Aquatic Veg_littoral_amount_legacy","Boulder_shoreline_amount_legacy","Cobble_shoreline_amount_legacy","Grass/Sedge/Forb_shoreline_amount_legacy","Silt/Sand/Gravel_shoreline_amount_legacy","Woody Plants/ Debris_shoreline_amount_legacy","lake_area_nbr_legacy","lake_perimeter_nbr_legacy","lake_type_code_legacy","lake_drainage_name_legacy","lake_elevation_nbr_legacy","lake_quad_name_legacy","lake_county_name_legacy","lake_juris_name_legacy","lake_wilderness_name_legacy","site_code_nbr_legacy","air_temp_legacy","air_temp_time_legacy","water_temp_legacy","water_temp_time_legacy","wind_legacy","sun_legacy","lake_max_depth_legacy","actual_fish_presence_legacy","FID_legacy","Shape_legacy","AREA_legacy","Jurisdicti_legacy","PERIM_legacy","X_CENTER_legacy","Y_CENTER_legacy","HA_legacy","Shape_Leng_legacy","Shape_Area_legacy","Lat_legacy","Lon_legacy","N0_legacy","H_legacy","N1_legacy","N2_legacy","J_legacy","E10_legacy","E20_legacy","Com.Size_legacy","betas.LCBD_legacy","Sum.Biomass_legacy","Biomass_legacy","Bedrock_littoral_amount_new","Boulder_littoral_amount_new","Cobble_littoral_amount_new","Gravel_littoral_amount_new","Sand_littoral_amount_new","Silt_littoral_amount_new","Woody Debris_littoral_amount_new","Aquatic Veg_littoral_amount_new","Boulder_shoreline_amount_new","Cobble_shoreline_amount_new","Grass/Sedge/Forb_shoreline_amount_new","Silt/Sand/Gravel_shoreline_amount_new","Woody Plants/ Debris_shoreline_amount_new","lake_area_nbr_new","lake_perimeter_nbr_new","lake_type_code_new","lake_drainage_name_new","lake_elevation_nbr_new","lake_quad_name_new","lake_county_name_new","lake_juris_name_new","lake_wilderness_name_new","site_code_nbr_new","air_temp_new","air_temp_time_new","water_temp_new","water_temp_time_new","wind_new","sun_new","lake_max_depth_new","actual_fish_presence_new","FID_new","Shape_new","AREA_new","Jurisdicti_new","PERIM_new","X_CENTER_new","Y_CENTER_new","HA_new","Shape_Leng_new","Shape_Area_new","Lat_new","Lon_new","N0_new","H_new","N1_new","N2_new","J_new","E10_new","E20_new","Com.Size_new","betas.LCBD_new","Sum.Biomass_new","Biomass_new"
10037,"7/9/1997",1,25,2,2,NA,14,NA,NA,NA,NA,NA,NA,NA,10323,546,"1","SN_JQN_SF_EVOLUTION_CK",3420,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",15,NA,14,NA,NA,NA,5.5,"No",5054,"Polygon",10322.91402,"SEKI",546.095316,347273.7592,4118073.144,1.03229,546.095316,10322.87107,37.19663737,-118.7208582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,25,2,2,NA,14,NA,NA,NA,NA,NA,NA,NA,10323,546,"1","SN_JQN_SF_EVOLUTION_CK",3420,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",15,NA,14,NA,NA,NA,5.5,"No",5054,"Polygon",10322.91402,"SEKI",546.095316,347273.7592,4118073.144,1.03229,546.095316,10322.87107,37.19663737,-118.7208582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10050,"7/24/1997",1,5,4,31,NA,7,NA,5,NA,NA,NA,NA,NA,248363,5057,"1","SN_JQN_SF_EVOLUTION_CK",3308,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",12,NA,13,NA,NA,NA,13,"Yes",5134,"Polygon",248362.6247,"SEKI",5056.64352,349510.3617,4114836.677,24.8361,5056.64352,248361.3759,37.16783951,-118.6950152,0,0,1,Inf,0,Inf,Inf,0,2.32542486365523e-05,6561.992648767,8.78920197437055,1,5,4,31,NA,7,NA,5,NA,NA,NA,NA,NA,248363,5057,"1","SN_JQN_SF_EVOLUTION_CK",3308,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",12,NA,13,NA,NA,NA,13,"Yes",5134,"Polygon",248362.6247,"SEKI",5056.64352,349510.3617,4114836.677,24.8361,5056.64352,248361.3759,37.16783951,-118.6950152,0,0,1,Inf,0,Inf,Inf,0,2.32542486365523e-05,6561.992648767,8.78920197437055
10052,"8/14/1997",1,20,1,13,NA,22,NA,14,NA,NA,NA,NA,NA,44810,1143,"1","SN_JQN_SF_EVOLUTION_CK",3261,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",18,NA,18,NA,NA,NA,9,"No",5131,"Polygon",44810.05355,"SEKI",1143.14442,345074.5642,4115434.686,4.48099,1143.14442,44809.89513,37.1725025,-118.7450802,0,0,1,Inf,0,Inf,Inf,0,2.32542486365523e-05,13944.807190699,9.54293418226584,1,20,1,13,NA,22,NA,14,NA,NA,NA,NA,NA,44810,1143,"1","SN_JQN_SF_EVOLUTION_CK",3261,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",18,NA,18,NA,NA,NA,9,"No",5131,"Polygon",44810.05355,"SEKI",1143.14442,345074.5642,4115434.686,4.48099,1143.14442,44809.89513,37.1725025,-118.7450802,0,0,1,Inf,0,Inf,Inf,0,2.32542486365523e-05,13944.807190699,9.54293418226584
10053,"8/14/1997",1,22,3,13,2,9,NA,NA,NA,NA,NA,NA,NA,43872,835,"1","SN_JQN_SF_EVOLUTION_CK",3312,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",19,NA,16,NA,NA,NA,7.5,"Yes",5169,"Polygon",43872.07937,"SEKI",834.606888,345380.0633,4114659.799,4.38719,834.606888,43871.92055,37.16557139,-118.7414803,0,0,1,Inf,0,Inf,Inf,0,2.32542486365523e-05,5337.245440899,8.58265230884354,1,22,3,13,2,9,NA,NA,NA,NA,NA,NA,NA,43872,835,"1","SN_JQN_SF_EVOLUTION_CK",3312,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",19,NA,16,NA,NA,NA,7.5,"Yes",5169,"Polygon",43872.07937,"SEKI",834.606888,345380.0633,4114659.799,4.38719,834.606888,43871.92055,37.16557139,-118.7414803,0,0,1,Inf,0,Inf,Inf,0,2.32542486365523e-05,5337.245440899,8.58265230884354
10054,"8/14/1997",5,30,4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,8568,407,"1","SN_JQN_SF_EVOLUTION_CK",3386,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",21,NA,16,NA,NA,NA,5.5,"No",5171,"Polygon",8568.133234,"SEKI",407.1991,344909.2264,4114614.492,0.85681,407.1991,8568.10154,37.16508513,-118.7467717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,30,4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,8568,407,"1","SN_JQN_SF_EVOLUTION_CK",3386,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",21,NA,16,NA,NA,NA,5.5,"No",5171,"Polygon",8568.133234,"SEKI",407.1991,344909.2264,4114614.492,0.85681,407.1991,8568.10154,37.16508513,-118.7467717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10055,"8/12/1997",6,29,5,3,1,1,NA,NA,NA,NA,NA,NA,NA,29282,888,"1","SN_JQN_SF_EVOLUTION_CK",3371,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",17,NA,16,NA,NA,NA,5.5,"No",5182,"Polygon",29282.0408,"SEKI",887.718458,346991.9447,4113858.464,2.92819,887.718458,29281.9221,37.15861665,-118.7231693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,29,5,3,1,1,NA,NA,NA,NA,NA,NA,NA,29282,888,"1","SN_JQN_SF_EVOLUTION_CK",3371,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",17,NA,16,NA,NA,NA,5.5,"No",5182,"Polygon",29282.0408,"SEKI",887.718458,346991.9447,4113858.464,2.92819,887.718458,29281.9221,37.15861665,-118.7231693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10057,"8/13/1997",3,17,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,28686,727,"1","SN_JQN_SF_EVOLUTION_CK",3395,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",19,NA,16,NA,NA,NA,9.5,"No",5190,"Polygon",28686.48492,"SEKI",726.9155,344998.4291,4113677.346,2.86864,726.9155,28686.38476,37.15665626,-118.7455732,0,0,1,Inf,0,Inf,Inf,0,2.32542486365523e-05,471.107341851,6.15720637890558,3,17,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,28686,727,"1","SN_JQN_SF_EVOLUTION_CK",3395,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",19,NA,16,NA,NA,NA,9.5,"No",5190,"Polygon",28686.48492,"SEKI",726.9155,344998.4291,4113677.346,2.86864,726.9155,28686.38476,37.15665626,-118.7455732,0,0,1,Inf,0,Inf,Inf,0,2.32542486365523e-05,471.107341851,6.15720637890558
10058,"8/13/1997",NA,25,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9657,408,"1","SN_JQN_SF_EVOLUTION_CK",3414,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",16,NA,8,NA,NA,NA,4.5,"No",5210,"Polygon",9656.603655,"SEKI",408.165358,344788.0732,4112995.215,0.965657,408.165358,9656.571169,37.15047536,-118.7477996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9657,408,"1","SN_JQN_SF_EVOLUTION_CK",3414,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",16,NA,8,NA,NA,NA,4.5,"No",5210,"Polygon",9656.603655,"SEKI",408.165358,344788.0732,4112995.215,0.965657,408.165358,9656.571169,37.15047536,-118.7477996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10060,"8/11/1997",3,38,1,8,NA,16,NA,12,NA,NA,NA,NA,NA,33432,1138,"1","SN_JQN_SF_EVOLUTION_CK",3286,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",19,NA,16,NA,NA,NA,6,"Yes",5208,"Polygon",33432.32705,"SEKI",1138.050536,346495.3818,4112918.333,3.34322,1138.050536,33432.2013,37.15006456,-118.7285663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,38,1,8,NA,16,NA,12,NA,NA,NA,NA,NA,33432,1138,"1","SN_JQN_SF_EVOLUTION_CK",3286,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",19,NA,16,NA,NA,NA,6,"Yes",5208,"Polygon",33432.32705,"SEKI",1138.050536,346495.3818,4112918.333,3.34322,1138.050536,33432.2013,37.15006456,-118.7285663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10061,"8/9/1997",2,33,4,7,NA,3,NA,NA,NA,NA,NA,NA,NA,102212,2495,"1","SN_JQN_SF_EVOLUTION_CK",3297,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",15,NA,15,NA,NA,NA,15.5,"Yes",5205,"Polygon",102212.1608,"SEKI",2494.727241,346972.7503,4112852.674,10.2212,2494.727241,102211.7593,37.14955123,-118.7231796,0,0,1,Inf,0,Inf,Inf,0,2.32542486365523e-05,7865.842136131,8.97041200753721,2,33,4,7,NA,3,NA,NA,NA,NA,NA,NA,NA,102212,2495,"1","SN_JQN_SF_EVOLUTION_CK",3297,"MT_DARWIN","FRESNO","KINGS_CANYON","KINGS_CANYON","1",15,NA,15,NA,NA,NA,15.5,"Yes",5205,"Polygon",102212.1608,"SEKI",2494.727241,346972.7503,4112852.674,10.2212,2494.727241,102211.7593,37.14955123,-118.7231796,0,0,1,Inf,0,Inf,Inf,0,2.32542486365523e-05,7865.842136131,8.97041200753721
