"var","n_match","mean_legacy","mean_new","mean_diff","median_diff","mean_abs_diff","ratio_mean"
"N1",602,1.12252982256933,1.12252982256933,-2.99049972963005e-18,0,5.9809994592601e-18,0.99999999999903
"betas.LCBD",602,0.00186622219233823,0.00186622219233823,7.33068514350994e-20,3.3881317890172e-21,2.60213084536978e-19,0.999999959167587
"Com.Size",602,0.326234508387799,0.158459834952611,-0.167774673435188,0,0.167774673435188,0.0222323630510933
